timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]
15150760,1718.235,-179.294,50000.000,1979.706,7.471,50000.000
15200747,1486.647,0.000,50000.000,1524.000,104.588,50000.000
15250702,1038.412,-22.412,50000.000,1157.941,14.941,50000.000
15300760,709.706,-67.235,50000.000,844.176,74.706,50000.000
15350745,470.647,59.765,50000.000,395.941,156.882,50000.000
15400750,127.000,14.941,50000.000,97.118,0.000,50000.000
15450682,-239.059,-97.118,50000.000,-171.824,-134.471,50000.000
15500752,-508.000,-67.235,50000.000,-500.529,-89.647,50001.000
15550769,-724.647,127.000,50000.000,-889.000,82.176,49999.000
15600776,-948.765,104.588,50000.000,-1128.059,-22.412,50000.000
15650759,-1195.294,-89.647,50000.000,-1150.470,-224.118,50000.000
15700777,-1307.353,-29.882,50000.000,-1359.647,-134.471,50000.000
15750771,-1314.823,127.000,50000.000,-1621.118,-44.824,50000.000
15800775,-1546.412,0.000,50000.000,-1651.000,-186.765,50000.000
15850704,-1576.294,0.000,50000.000,-1695.823,-134.471,50000.000
15900710,-1561.353,29.882,50000.000,-1800.412,-52.294,50000.000
15950762,-1591.235,-29.882,50000.000,-1755.588,-156.882,50000.000
16000785,-1703.294,44.824,50000.000,-1778.000,-231.588,50000.000
16050766,-1636.059,97.118,50000.000,-1845.235,-104.588,50001.000
16100789,-1695.823,97.118,50000.000,-1845.235,-44.824,50000.000
16150767,-1703.294,59.765,50000.000,-1875.118,-89.647,49999.000
16200782,-1531.470,-44.824,50000.000,-1710.765,-112.059,50000.000
16250769,-1568.823,-52.294,50000.000,-1628.588,-141.941,50000.000
16300785,-1524.000,22.412,50000.000,-1658.470,-149.412,50000.000
16350771,-1426.882,0.000,50000.000,-1516.529,-171.824,50000.000
16400712,-1426.882,67.235,50000.000,-1456.765,-127.000,50000.000
16450778,-1232.647,485.588,50000.000,-1591.235,134.471,50000.000
16500779,-1389.529,1337.235,50000.000,-2099.235,732.118,50000.000
16550789,-1755.588,918.882,50000.000,-2241.176,-575.235,50000.000
16600789,-1860.176,-89.647,50000.000,-1792.941,-403.412,50001.000
16650793,-1426.882,-874.059,50000.000,-1516.529,-179.294,50000.000
16700786,-1912.470,-515.471,50000.000,-1905.000,-201.706,49999.000
16750792,-1927.412,216.647,50000.000,-2472.765,-104.588,50000.000
16800781,-1658.470,216.647,50000.000,-2383.117,22.412,50000.000
16850771,-1890.059,-470.647,50000.000,-1688.353,-186.765,50000.000
16900775,-1464.235,-530.412,50000.000,-1441.823,-89.647,50000.000
16950780,-1202.765,-149.412,50000.000,-1389.529,-44.824,50000.000
17000774,-1113.118,67.235,50000.000,-1165.412,-156.882,50000.000
17050778,-717.176,-37.353,50000.000,-829.235,-82.176,50000.000
17100760,-433.294,-74.706,50000.000,-493.059,-7.471,50000.000
17150726,-216.647,-59.765,50000.000,-194.235,-119.529,50000.000
17200766,37.353,-37.353,50000.000,52.294,-89.647,50000.000
17250743,268.941,-14.941,50000.000,358.588,0.000,50001.000
17300711,470.647,7.471,50000.000,560.294,22.412,49999.000
17350748,664.882,0.000,50000.000,799.353,89.647,50000.000
17400691,829.235,-29.882,50000.000,971.176,44.824,50000.000
17450754,881.529,493.059,50000.000,918.882,321.235,50000.000
17500757,799.353,1845.235,50000.000,59.765,1075.765,50000.000
17550762,754.529,993.588,50000.000,246.529,7.471,50000.000
17600737,627.529,-799.353,50000.000,1456.765,-552.823,50000.000
17650772,1344.706,-1479.176,50000.000,1964.765,0.000,50000.000
17700710,1516.529,-642.471,50000.000,1613.647,351.118,50000.000
17750768,1180.353,291.353,50000.000,1217.706,-29.882,50000.000
17800761,1307.353,508.000,50000.000,1187.823,-74.706,50000.000
17850760,1509.059,0.000,50000.000,1651.000,74.706,50000.000
17900684,1598.706,-254.000,50000.000,1964.765,112.059,50000.000
17950764,1538.941,791.882,50000.000,1673.412,1157.941,50001.000
